"name","ts","high","hour"
"BYND","2020-05-14 09:39:00-04:00","137.97000122070312","09"
"DDOG","2020-05-14 09:32:00-04:00","67.25","09"
"FB","2020-05-14 09:37:00-04:00","203.8677978515625","09"
"NFLX","2020-05-14 09:36:00-04:00","452.0","09"
"OKTA","2020-05-14 09:39:00-04:00","178.0","09"
"OKTA","2020-05-14 09:38:00-04:00","178.0","09"
"PINS","2020-05-14 09:31:00-04:00","16.540000915527344","09"
"PINS","2020-05-14 09:32:00-04:00","16.540000915527344","09"
"SHOP","2020-05-14 09:31:00-04:00","758.0900268554688","09"
"SNAP","2020-05-14 09:31:00-04:00","16.729999542236328","09"
"SQ","2020-05-14 09:46:00-04:00","72.80999755859375","09"
"TTD","2020-05-14 09:31:00-04:00","289.44989013671875","09"
"BYND","2020-05-14 10:31:00-04:00","139.55999755859375","10"
"DDOG","2020-05-14 10:09:00-04:00","66.55000305175781","10"
"FB","2020-05-14 10:53:00-04:00","203.35000610351562","10"
"NFLX","2020-05-14 10:08:00-04:00","446.510009765625","10"
"OKTA","2020-05-14 10:10:00-04:00","177.80679321289062","10"
"PINS","2020-05-14 10:53:00-04:00","16.674999237060547","10"
"PINS","2020-05-14 10:54:00-04:00","16.674999237060547","10"
"SHOP","2020-05-14 10:10:00-04:00","752.0","10"
"SHOP","2020-05-14 10:12:00-04:00","752.0","10"
"SNAP","2020-05-14 10:54:00-04:00","16.93000030517578","10"
"SQ","2020-05-14 10:59:00-04:00","75.58999633789062","10"
"TTD","2020-05-14 10:53:00-04:00","290.07000732421875","10"
"BYND","2020-05-14 11:15:00-04:00","141.0","11"
"DDOG","2020-05-14 11:05:00-04:00","65.0","11"
"DDOG","2020-05-14 11:06:00-04:00","65.0","11"
"DDOG","2020-05-14 11:16:00-04:00","65.0","11"
"DDOG","2020-05-14 11:20:00-04:00","65.0","11"
"FB","2020-05-14 11:37:00-04:00","204.27000427246094","11"
"NFLX","2020-05-14 11:16:00-04:00","440.6400146484375","11"
"OKTA","2020-05-14 11:37:00-04:00","179.88999938964844","11"
"PINS","2020-05-14 11:18:00-04:00","16.94499969482422","11"
"SHOP","2020-05-14 11:16:00-04:00","757.469970703125","11"
"SNAP","2020-05-14 11:07:00-04:00","17.149999618530273","11"
"SQ","2020-05-14 11:09:00-04:00","76.48999786376953","11"
"TTD","2020-05-14 11:18:00-04:00","296.8562927246094","11"
"BYND","2020-05-14 12:57:00-04:00","138.24000549316406","12"
"DDOG","2020-05-14 12:54:00-04:00","64.87999725341797","12"
"FB","2020-05-14 12:56:00-04:00","205.10000610351562","12"
"NFLX","2020-05-14 12:59:00-04:00","440.3399963378906","12"
"OKTA","2020-05-14 12:57:00-04:00","179.0050048828125","12"
"PINS","2020-05-14 12:57:00-04:00","17.040000915527344","12"
"SHOP","2020-05-14 12:57:00-04:00","754.1599731445312","12"
"SNAP","2020-05-14 12:57:00-04:00","16.989999771118164","12"
"SQ","2020-05-14 12:59:00-04:00","76.75","12"
"TTD","2020-05-14 12:57:00-04:00","294.5","12"
"BYND","2020-05-14 13:00:00-04:00","137.78990173339844","13"
"DDOG","2020-05-14 13:02:00-04:00","65.0","13"
"FB","2020-05-14 13:32:00-04:00","205.63999938964844","13"
"NFLX","2020-05-14 13:49:00-04:00","441.7799987792969","13"
"OKTA","2020-05-14 13:03:00-04:00","178.5","13"
"OKTA","2020-05-14 13:02:00-04:00","178.5","13"
"PINS","2020-05-14 13:26:00-04:00","17.030000686645508","13"
"SHOP","2020-05-14 13:01:00-04:00","755.8200073242188","13"
"SNAP","2020-05-14 13:31:00-04:00","17.0","13"
"SQ","2020-05-14 13:48:00-04:00","77.18000030517578","13"
"TTD","2020-05-14 13:31:00-04:00","296.0","13"
"BYND","2020-05-14 14:12:00-04:00","135.7301025390625","14"
"DDOG","2020-05-14 14:48:00-04:00","64.12999725341797","14"
"FB","2020-05-14 14:29:00-04:00","204.98500061035156","14"
"NFLX","2020-05-14 14:30:00-04:00","441.44000244140625","14"
"OKTA","2020-05-14 14:32:00-04:00","177.80999755859375","14"
"PINS","2020-05-14 14:22:00-04:00","16.905000686645508","14"
"PINS","2020-05-14 14:21:00-04:00","16.905000686645508","14"
"SHOP","2020-05-14 14:57:00-04:00","751.7999877929688","14"
"SNAP","2020-05-14 14:57:00-04:00","16.920000076293945","14"
"SNAP","2020-05-14 14:58:00-04:00","16.920000076293945","14"
"SQ","2020-05-14 14:59:00-04:00","77.26000213623047","14"
"TTD","2020-05-14 14:59:00-04:00","295.7699890136719","14"
"BYND","2020-05-14 15:54:00-04:00","135.85000610351562","15"
"DDOG","2020-05-14 15:54:00-04:00","65.86990356445312","15"
"FB","2020-05-14 15:59:00-04:00","206.92999267578125","15"
"NFLX","2020-05-14 15:59:00-04:00","442.1400146484375","15"
"OKTA","2020-05-14 15:05:00-04:00","177.85000610351562","15"
"PINS","2020-05-14 15:51:00-04:00","17.09000015258789","15"
"PINS","2020-05-14 15:50:00-04:00","17.09000015258789","15"
"SHOP","2020-05-14 15:50:00-04:00","755.5700073242188","15"
"SNAP","2020-05-14 15:08:00-04:00","16.969999313354492","15"
"SNAP","2020-05-14 15:09:00-04:00","16.969999313354492","15"
"SQ","2020-05-14 15:57:00-04:00","78.25","15"
"TTD","2020-05-14 15:24:00-04:00","297.6700134277344","15"
